Name,
Date of Birth,12-Aug-75
Recorded Date,10/8/2025 21:55
Classification,Sinus Rhythm
Symptoms,
Software Version,1.9
Device,"Watch6,9"
Sample Rate,512 hertz
,
,
Lead,Lead I
Unit,µV
,
-28.124,
-48.469,
-69.52,
-88.447,
-101.656,
-106.291,
-100.387,
-84.397,
-60.533,
-29.654,
9.043,
58.967,
123.647,
203.417,
295.057,
389.849,
478.559,
553.473,
607.171,
637.407,
641.659,
616.418,
562.394,
478.923,
369.345,
244.47,
115.517,
-2.212,
-94.813,
-158.588,
-194.978,
-212.383,
-222.097,
-227.914,
-230.274,
-226.171,
-211.18,
-187.896,
-160.799,
-135.065,
-116.404,
-104.618,
-98.388,
-96.502,
-96.285,
-97.954,
-101.687,
-106.613,
-112.621,
-118.412,
-122.688,
-125.038,
-125.249,
-123.662,
-120.904,
-117.465,
-113.791,
-110.353,
-107.595,
-105.933,
-105.557,
-106.416,
-108.353,
-111.109,
-114.426,
-118.057,
-121.703,
-125.088,
-128.042,
-130.48,
-132.362,
-133.684,
-134.435,
-134.607,
-134.234,
-133.363,
-132.04,
-130.306,
-128.197,
-125.766,
-123.084,
-120.239,
-117.318,
-114.386,
-111.489,
-108.663,
-105.939,
-103.348,
-100.915,
-98.648,
-96.542,
-94.593,
-92.798,
-91.152,
-89.648,
-88.268,
-86.986,
-85.775,
-84.605,
-83.454,
-82.306,
-81.145,
-79.957,
-78.731,
-77.455,
-76.123,
-74.73,
-73.269,
-71.73,
-70.102,
-68.371,
-66.529,
-64.568,
-62.479,
-60.256,
-57.89,
-55.373,
-52.701,
-49.868,
-46.866,
-43.69,
-40.332,
-36.784,
-33.04,
-29.097,
-24.95,
-20.597,
-16.036,
-11.269,
-6.297,
-1.127,
4.238,
9.794,
15.537,
21.466,
27.574,
33.853,
40.293,
46.882,
53.602,
60.435,
67.351,
74.322,
81.324,
88.334,
95.337,
102.323,
109.276,
116.187,
123.044,
129.83,
136.53,
143.132,
149.619,
155.977,
162.199,
168.286,
174.25,
180.109,
185.865,
191.508,
197.02,
202.368,
207.517,
212.425,
217.038,
221.313,
225.212,
228.699,
231.75,
234.34,
236.435,
237.995,
238.959,
239.262,
238.869,
237.756,
235.921,
233.391,
230.184,
226.334,
221.929,
217.04,
211.722,
206.026,
199.952,
193.492,
186.701,
179.651,
172.33,
164.721,
156.915,
148.941,
140.814,
132.727,
124.203,
114.76,
105.026,
95.183,
86.471,
80.395,
75.373,
70.361,
63.763,
53.37,
41.177,
28.874,
17.64,
9.397,
2.81,
-3.461,
-9.684,
-16.642,
-23.768,
-30.383,
-36.582,
-42.285,
-47.566,
-52.575,
-57.237,
-61.496,
-65.387,
-68.928,
-72.129,
-75.005,
-77.56,
-79.81,
-81.784,
-83.532,
-85.099,
-86.515,
-87.794,
-88.937,
-89.924,
-90.748,
-91.408,
-91.9,
-92.222,
-92.374,
-92.357,
-92.182,
-91.869,
-91.433,
-90.88,
-90.212,
-89.423,
-88.513,
-87.495,
-86.382,
-85.197,
-83.957,
-82.675,
-81.366,
-80.046,
-78.728,
-77.42,
-76.128,
-74.849,
-73.584,
-72.336,
-71.11,
-69.912,
-68.745,
-67.611,
-66.511,
-65.443,
-64.409,
-63.407,
-62.436,
-61.493,
-60.577,
-59.687,
-58.823,
-57.987,
-57.18,
-56.4,
-55.648,
-54.924,
-54.225,
-53.551,
-52.901,
-52.273,
-51.665,
-51.076,
-50.506,
-49.953,
-49.417,
-48.897,
-48.393,
-47.904,
-47.43,
-46.971,
-46.527,
-46.096,
-45.68,
-45.278,
-44.89,
-44.515,
-44.155,
-43.808,
-43.474,
-43.153,
-42.845,
-42.547,
-42.26,
-41.983,
-41.713,
-41.45,
-41.193,
-40.941,
-40.691,
-40.443,
-40.197,
-39.95,
-39.702,
-39.451,
-39.197,
-38.938,
-38.674,
-38.404,
-38.126,
-37.84,
-37.545,
-37.24,
-36.924,
-36.598,
-36.26,
-35.909,
-35.545,
-35.168,
-34.777,
-34.372,
-33.953,
-33.521,
-33.075,
-32.616,
-32.146,
-31.666,
-31.175,
-30.677,
-30.172,
-29.662,
-29.149,
-28.633,
-28.118,
-27.605,
-27.096,
-26.592,
-26.096,
-25.609,
-25.134,
-24.671,
-24.222,
-23.788,
-23.371,
-22.972,
-22.592,
-22.233,
-21.894,
-21.577,
-21.284,
-21.014,
-20.769,
-20.549,
-20.354,
-20.184,
-20.039,
-19.92,
-19.824,
-19.753,
-19.704,
-19.677,
-19.67,
-19.683,
-19.713,
-19.759,
-19.819,
-19.891,
-19.973,
-20.063,
-20.158,
-20.257,
-20.358,
-20.458,
-20.556,
-20.651,
-20.74,
-20.823,
-20.898,
-20.963,
-21.017,
-21.06,
-21.09,
-21.106,
-21.108,
-21.095,
-21.068,
-21.026,
-20.969,
-20.899,
-20.815,
-20.719,
-20.612,
-20.496,
-20.372,
-20.243,
-20.11,
-19.977,
-19.846,
-19.72,
-19.603,
-19.498,
-19.409,
-19.338,
-19.29,
-19.269,
-19.277,
-19.318,
-19.395,
-19.512,
-19.671,
-19.877,
-20.132,
-20.438,
-20.799,
-21.217,
-21.693,
-22.23,
-22.828,
-23.49,
-24.214,
-25.002,
-25.853,
-26.766,
-27.74,
-28.773,
-29.862,
-31.005,
-32.199,
-33.44,
-34.722,
-36.042,
-37.394,
-38.772,
-40.171,
-41.583,
-43.002,
-44.422,
-45.835,
-47.235,
-48.613,
-49.963,
-51.277,
-52.547,
-53.765,
-54.924,
-56.016,
-57.033,
-57.969,
-58.817,
-59.571,
-60.224,
-60.773,
-61.211,
-61.535,
-61.742,
-61.829,
-61.793,
-61.635,
-61.352,
-60.946,
-60.418,
-59.77,
-59.005,
-58.127,
-57.14,
-56.049,
-54.861,
-53.581,
-52.217,
-50.775,
-49.264,
-47.693,
-46.071,
-44.408,
-42.715,
-41.002,
-39.282,
-37.566,
-35.866,
-34.194,
-32.563,
-30.984,
-29.469,
-28.03,
-26.678,
-25.426,
-24.284,
-23.264,
-22.377,
-21.635,
-21.046,
-20.621,
-20.37,
-20.3,
-20.421,
-20.741,
-21.263,
-21.995,
-22.938,
-24.097,
-25.474,
-27.067,
-28.875,
-30.894,
-33.117,
-35.539,
-38.154,
-40.952,
-43.918,
-47.035,
-50.286,
-53.651,
-57.12,
-60.677,
-64.306,
-67.989,
-71.711,
-75.456,
-79.212,
-82.96,
-86.672,
-90.314,
-93.847,
-97.239,
-100.466,
-103.512,
-106.363,
-108.994,
-111.37,
-113.456,
-115.221,
-116.636,
-117.684,
-118.324,
-118.515,
-118.29,
-117.727,
-116.968,
-116.224,
-115.634,
-115.287,
-115.326,
-115.815,
-116.681,
-117.816,
-118.905,
-119.49,
-119.297,
-118.06,
-115.434,
-111.364,
-106.032,
-99.573,
-92.428,
-85.31,
-78.599,
-73.305,
-71.177,
-72.579,
-77.137,
-83.756,
-89.111,
-91.95,
-93.525,
-94.603,
-98.138,
-105.242,
-112.843,
-117.924,
-114.66,
-96.451,
-59.043,
1.25,
83.932,
184.919,
296.926,
408.981,
511.386,
594.613,
651.452,
680.331,
679.736,
649.925,
593.475,
509.998,
402.355,
279.038,
150.034,
30.666,
-64.512,
-130.425,
-167.776,
-184.309,
-191.144,
-193.214,
-191.454,
-184.141,
-168.15,
-144.334,
-116.217,
-87.608,
-62.184,
-41.912,
-27.305,
-18.438,
-14.876,
-15.782,
-20.01,
-26.353,
-33.853,
-41.559,
-48.661,
-54.483,
-58.407,
-60.314,
-60.548,
-59.538,
-57.719,
-55.549,
-53.381,
-51.583,
-50.584,
-50.527,
-51.321,
-52.802,
-54.707,
-56.785,
-58.862,
-60.746,
-62.21,
-63.142,
-63.491,
-63.233,
-62.42,
-61.103,
-59.32,
-57.148,
-54.675,
-51.967,
-49.09,
-46.108,
-43.068,
-40.022,
-37.015,
-34.07,
-31.207,
-28.442,
-25.792,
-23.28,
-20.92,
-18.71,
-16.648,
-14.723,
-12.92,
-11.227,
-9.63,
-8.106,
-6.638,
-5.212,
-3.814,
-2.44,
-1.086,
0.257,
1.596,
2.94,
4.298,
5.679,
7.09,
8.541,
10.041,
11.598,
13.223,
14.923,
16.706,
18.583,
20.566,
22.663,
24.888,
27.25,
29.756,
32.417,
35.24,
38.229,
41.388,
44.72,
48.227,
51.911,
55.774,
59.816,
64.039,
68.441,
73.021,
77.78,
82.716,
87.823,
93.096,
98.526,
104.106,
109.829,
115.69,
121.678,
127.778,
133.976,
140.254,
146.592,
152.971,
159.364,
165.739,
172.065,
178.312,
184.457,
190.485,
196.377,
202.114,
207.676,
213.044,
218.205,
223.159,
227.899,
232.42,
236.72,
240.795,
244.655,
248.324,
251.816,
255.138,
258.291,
261.255,
264.013,
266.553,
268.854,
270.895,
272.649,
274.067,
275.111,
275.747,
275.934,
275.636,
274.803,
273.364,
271.268,
268.47,
264.939,
260.67,
255.664,
249.921,
243.456,
236.288,
228.44,
219.963,
210.91,
201.329,
191.287,
180.846,
170.086,
159.114,
148.026,
136.924,
125.897,
115.011,
104.322,
93.891,
83.765,
73.995,
64.635,
55.71,
47.24,
39.242,
31.721,
24.679,
18.106,
11.966,
6.214,
0.796,
-4.333,
-9.202,
-13.829,
-18.238,
-22.45,
-26.492,
-30.398,
-34.184,
-37.858,
-41.434,
-44.914,
-48.309,
-51.617,
-54.821,
-57.893,
-60.799,
-63.514,
-66.026,
-68.33,
-70.423,
-72.303,
-73.963,
-75.399,
-76.618,
-77.626,
-78.432,
-79.043,
-79.465,
-79.711,
-79.799,
-79.758,
-79.617,
-79.4,
-79.125,
-78.808,
-78.463,
-78.101,
-77.737,
-77.378,
-77.029,
-76.697,
-76.385,
-76.103,
-75.857,
-75.652,
-75.489,
-75.37,
-75.293,
-75.259,
-75.268,
-75.323,
-75.422,
-75.568,
-75.76,
-76.001,
-76.293,
-76.638,
-77.036,
-77.485,
-77.984,
-78.533,
-79.129,
-79.769,
-80.451,
-81.173,
-81.93,
-82.721,
-83.542,
-84.392,
-85.266,
-86.162,
-87.078,
-88.01,
-88.955,
-89.91,
-90.874,
-91.844,
-92.816,
-93.789,
-94.762,
-95.73,
-96.694,
-97.649,
-98.595,
-99.529,
-100.448,
-101.351,
-102.235,
-103.098,
-103.938,
-104.753,
-105.542,
-106.303,
-107.036,
-107.74,
-108.413,
-109.056,
-109.669,
-110.25,
-110.799,
-111.317,
-111.803,
-112.258,
-112.681,
-113.074,
-113.435,
-113.766,
-114.066,
-114.336,
-114.576,
-114.786,
-114.967,
-115.119,
-115.242,
-115.336,
-115.403,
-115.443,
-115.457,
-115.446,
-115.411,
-115.354,
-115.274,
-115.174,
-115.054,
-114.915,
-114.758,
-114.584,
-114.394,
-114.189,
-113.968,
-113.734,
-113.486,
-113.226,
-112.953,
-112.668,
-112.371,
-112.064,
-111.746,
-111.418,
-111.081,
-110.734,
-110.379,
-110.017,
-109.647,
-109.271,
-108.889,
-108.501,
-108.107,
-107.709,
-107.305,
-106.895,
-106.481,
-106.06,
-105.635,
-105.203,
-104.766,
-104.322,
-103.871,
-103.413,
-102.948,
-102.475,
-101.992,
-101.501,
-101,
-100.488,
-99.966,
-99.432,
-98.887,
-98.329,
-97.758,
-97.174,
-96.575,
-95.962,
-95.332,
-94.687,
-94.026,
-93.348,
-92.653,
-91.942,
-91.215,
-90.472,
-89.713,
-88.941,
-88.155,
-87.357,
-86.548,
-85.729,
-84.903,
-84.07,
-83.233,
-82.393,
-81.554,
-80.717,
-79.885,
-79.06,
-78.246,
-77.444,
-76.658,
-75.89,
-75.142,
-74.418,
-73.72,
-73.051,
-72.413,
-71.808,
-71.237,
-70.704,
-70.208,
-69.751,
-69.333,
-68.954,
-68.612,
-68.309,
-68.04,
-67.806,
-67.603,
-67.429,
-67.28,
-67.154,
-67.045,
-66.95,
-66.864,
-66.782,
-66.698,
-66.607,
-66.502,
-66.378,
-66.227,
-66.045,
-65.823,
-65.555,
-65.235,
-64.856,
-64.411,
-63.894,
-63.299,
-62.621,
-61.854,
-60.994,
-60.037,
-58.979,
-57.819,
-56.554,
-55.183,
-53.707,
-52.127,
-50.444,
-48.66,
-46.779,
-44.805,
-42.743,
-40.598,
-38.376,
-36.084,
-33.73,
-31.322,
-28.869,
-26.379,
-23.865,
-21.335,
-18.801,
-16.274,
-13.765,
-11.288,
-8.853,
-6.473,
-4.16,
-1.928,
0.212,
2.247,
4.165,
5.953,
7.599,
9.092,
10.422,
11.579,
12.552,
13.334,
13.914,
14.288,
14.449,
14.394,
14.118,
13.62,
12.898,
11.951,
10.785,
9.402,
7.807,
6.007,
4.005,
1.81,
-0.562,
-3.099,
-5.785,
-8.609,
-11.559,
-14.622,
-17.784,
-21.029,
-24.338,
-27.695,
-31.082,
-34.471,
-37.834,
-41.138,
-44.345,
-47.427,
-50.363,
-53.135,
-55.733,
-58.137,
-60.313,
-62.231,
-63.861,
-65.167,
-66.154,
-66.822,
-67.159,
-67.22,
-67.087,
-66.874,
-66.79,
-67.016,
-67.601,
-68.586,
-69.981,
-71.657,
-73.545,
-75.498,
-77.103,
-77.987,
-77.936,
-76.779,
-74.55,
-71.493,
-67.647,
-63.132,
-58.475,
-54.273,
-51.135,
-49.612,
-49.916,
-52.006,
-56.043,
-62.22,
-69.759,
-76.841,
-81.547,
-81.744,
-76.848,
-68.917,
-58.702,
-45.521,
-27.134,
3.236,
51.321,
119.094,
206.848,
307.873,
410.252,
502.349,
570.579,
605.295,
